id,area,name,type,type2,Lat,Lon,totalcar
138,士林區,捷運士林站南,1,2,25.09263603459946,121.52665502316968,72
139,士林區,捷運士林站西,1,2,25.093510986472392,121.52585304796692,58
140,士林區,捷運芝山站南,1,2,25.10119296429325,121.52298295302917,134
141,士林區,捷運芝山站北,1,2,25.104622998739377,121.52231102480413,28
149,中山區,捷運劍南路站轉乘停車場,1,2,25.08449074982988,121.55458771457727,282
150,松山區,臺北體育館地下停車場,1,2,25.05131645215946,121.55194552993616,153
153,大安區,仁愛地下停車場,1,2,25.039218145815756,121.53728623676375,635
156,北投區,關渡水岸自然公園平面停車場,1,2,25.117468949911807,121.4630899817551,305
158,中正區,花園停車場,1,2,25.013858241756658,121.5318585797057,216
159,中正區,公館停車場,1,2,25.01092114996438,121.5351231825356,106
160,中正區,水岸停車場,1,2,25.012156621452938,121.52915103932853,62
161,中正區,臺北市青少年發展處停車場,1,2,25.03903761580592,121.52226138942167,277
162,士林區,中華民國農民團體幹部聯合訓練協會停車場,1,2,25.122449023095953,121.53146544735081,48
164,信義區,市府轉運站停車場,1,2,25.040667915226944,121.56516362233602,481
165,南港區,玉成公園地下停車場,1,1,25.04212474365916,121.58701118847166,403
173,內湖區,文德站轉乘停車場,1,2,25.078305990417146,121.58445220318917,306
174,南港區,內湖機廠轉乘停車場,1,2,25.061011663576508,121.61851607965855,302
176,士林區,天母西側停車場,1,2,25.11857992003776,121.52954222511187,222
177,信義區,BELLAVITA寶麗廣場停車場,1,2,25.039730235834462,121.56791712976384,164
181,松山區,臺北國際航空站第1號計時收費停車場,1,2,25.062860549789324,121.55125709890123,116
182,松山區,臺北國際航空站第2號計時收費停車場,1,2,25.063024073381705,121.55241618430104,212
183,松山區,臺北國際航空站第3號計時收費停車場,1,2,25.06305859906441,121.55344832944854,494
184,士林區,國立台灣科學教育館地下停車場,1,2,25.096026679490205,121.5161521790626,461
186,松山區,京華城停車場,1,2,25.04854580900731,121.56249383070417,1427
187,信義區,松山工農地下停車場,1,1,25.039581631247454,121.5722944875118,234
188,信義區,松山車站地下停車場,1,1,25.04849732515049,121.57831797557269,415
189,中山區,台北馬偕醫院地下停車場,1,2,25.05834869847682,121.52182000172871,342
190,士林區,故宮廣場停車場,1,2,25.09856230426185,121.5484027299095,85
191,信義區,ATT 4 FUN停車場,1,2,25.03567075065271,121.5660536691414,40
192,大安區,第二殯儀館停車場,1,2,25.013770444141787,121.55293386621554,226
193,松山區,松山國小地下停車場,1,1,25.05051654452584,121.57819914618477,280
194,信義區,臺北文創停車場,1,2,25.04465893584923,121.56192890783917,560
195,萬華區,新糖廍公園地下停車場,1,2,25.03363964735622,121.49454507645174,70
196,內湖區,石潭平面停車場,1,2,25.068279700828985,121.59235251245387,70
197,內湖區,康東平面停車場,1,2,25.06979132732676,121.61216351295197,39
198,內湖區,康寧平面停車場,1,2,25.07251074499434,121.60557882269127,21
199,中正區,歐特儀股份有限公司台北車站西區地下停車場,1,2,25.04785394089165,121.51662240116343,185
